月份,收入元,原料成本元,人工元,电费元,管理销售元,折旧元,利息元,所得税元,净利润元,客户回款元,原料采购元,增值税缴付元,现金元,应收元,存货元,固定资产净额元,负债元,权益元,资产元,经营净现金元,分红筹资流出元,现金净变动元
2025-10,4996860,2148650,520000,265200,320000,180000,25000,384502,1153508,5646452,2148650,370268,16898236,1400000,1800000,19880000,7400000,32578236,39978236,1333508,0,1333508
2025-11,5192808,2232907,520000,275600,320000,180000,25000,409825,1229476,5867873,2232907,384787,18307712,1400000,1800000,19700000,7400000,33807712,41207712,1409476,0,1409476
2025-12,5388768,2317170,520000,286000,320000,180000,25000,435150,1305448,6089308,2317170,399308,4000000,1400000,1800000,19520000,7400000,19320000,26720000,1485448,15793160,-14307712
2026-01,4232628,1820030,520000,208000,320000,180000,25000,289900,869698,4735042,1820030,313638,5001870,1447828,1800000,19340000,7400000,20189698,27589698,1001870,0,1001870
2026-02,3809364,1638027,520000,187200,320000,180000,25000,234784,704353,4261535,1638027,282273,5843177,1490874,1800000,19160000,7400000,20894051,28294051,841307,0,841307
2026-03,5396604,2320540,520000,265200,320000,180000,25000,441466,1324398,6037181,2320540,399889,7286593,1551856,1800000,18980000,7400000,22218449,29618449,1443416,0,1443416
2026-04,5608236,2411541,520000,275600,320000,180000,25000,469024,1407071,6273934,2411541,415571,8810291,1615229,1800000,18800000,7400000,23625520,31025520,1523698,0,1523698
2026-05,5819868,2502543,520000,286000,320000,180000,25000,496581,1489744,6510687,2502543,431252,10414271,1680993,1800000,18620000,7400000,25115264,32515264,1603980,0,1603980
2026-06,5555328,2388791,520000,273000,320000,180000,25000,462134,1386403,6214745,2388791,411650,11917898,1743769,1800000,18440000,7400000,26501667,33901667,1503627,0,1503627
2026-07,5714052,2457042,520000,280800,320000,180000,25000,482802,1448408,6392310,2457042,423412,13481737,1808338,1800000,18260000,7400000,27950075,35350075,1563839,0,1563839
2026-08,5714052,2457042,520000,280800,320000,180000,25000,482802,1448408,6392310,2457042,423412,15045576,1872907,1800000,18080000,7400000,29398483,36798483,1563839,0,1563839
