采购号,日期,供应商,原料,数量kg,单价元kg,不含税元,税额元,价税合计元,模拟发票号,入库单号,标识
KS-INJECTION-1000-P-202409-1,2024-09-08,模拟原料商1,PP粒子,152137.375,8,1217099,158223,1375322,KS-INJECTION-1000-P-202409-1-INV,KS-INJECTION-1000-P-202409-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202409-2,2024-09-08,模拟原料商2,PP粒子,101425.0,8,811400,105482,916882,KS-INJECTION-1000-P-202409-2-INV,KS-INJECTION-1000-P-202409-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202410-1,2024-10-08,模拟原料商1,PP粒子,149211.75,8,1193694,155180,1348874,KS-INJECTION-1000-P-202410-1-INV,KS-INJECTION-1000-P-202410-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202410-2,2024-10-08,模拟原料商2,PP粒子,99474.5,8,795796,103454,899250,KS-INJECTION-1000-P-202410-2-INV,KS-INJECTION-1000-P-202410-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202411-1,2024-11-08,模拟原料商1,PP粒子,155063.125,8,1240505,161266,1401771,KS-INJECTION-1000-P-202411-1-INV,KS-INJECTION-1000-P-202411-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202411-2,2024-11-08,模拟原料商2,PP粒子,103375.5,8,827004,107510,934514,KS-INJECTION-1000-P-202411-2-INV,KS-INJECTION-1000-P-202411-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202412-1,2024-12-08,模拟原料商1,PP粒子,160914.625,8,1287317,167351,1454668,KS-INJECTION-1000-P-202412-1-INV,KS-INJECTION-1000-P-202412-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202412-2,2024-12-08,模拟原料商2,PP粒子,107276.375,8,858211,111568,969779,KS-INJECTION-1000-P-202412-2-INV,KS-INJECTION-1000-P-202412-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202501-1,2025-01-08,模拟原料商1,PP粒子,126391.125,8,1011129,131447,1142576,KS-INJECTION-1000-P-202501-1-INV,KS-INJECTION-1000-P-202501-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202501-2,2025-01-08,模拟原料商2,PP粒子,84260.75,8,674086,87631,761717,KS-INJECTION-1000-P-202501-2-INV,KS-INJECTION-1000-P-202501-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202502-1,2025-02-08,模拟原料商1,PP粒子,113752.0,8,910016,118302,1028318,KS-INJECTION-1000-P-202502-1-INV,KS-INJECTION-1000-P-202502-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202502-2,2025-02-08,模拟原料商2,PP粒子,75834.75,8,606678,78868,685546,KS-INJECTION-1000-P-202502-2-INV,KS-INJECTION-1000-P-202502-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202503-1,2025-03-08,模拟原料商1,PP粒子,161148.75,8,1289190,167594,1456784,KS-INJECTION-1000-P-202503-1-INV,KS-INJECTION-1000-P-202503-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202503-2,2025-03-08,模拟原料商2,PP粒子,107432.5,8,859460,111730,971190,KS-INJECTION-1000-P-202503-2-INV,KS-INJECTION-1000-P-202503-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202504-1,2025-04-08,模拟原料商1,PP粒子,167468.0,8,1339744,174167,1513911,KS-INJECTION-1000-P-202504-1-INV,KS-INJECTION-1000-P-202504-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202504-2,2025-04-08,模拟原料商2,PP粒子,111645.375,8,893163,116111,1009274,KS-INJECTION-1000-P-202504-2-INV,KS-INJECTION-1000-P-202504-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202505-1,2025-05-08,模拟原料商1,PP粒子,173787.75,8,1390302,180739,1571041,KS-INJECTION-1000-P-202505-1-INV,KS-INJECTION-1000-P-202505-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202505-2,2025-05-08,模拟原料商2,PP粒子,115858.5,8,926868,120493,1047361,KS-INJECTION-1000-P-202505-2-INV,KS-INJECTION-1000-P-202505-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202506-1,2025-06-08,模拟原料商1,PP粒子,165888.25,8,1327106,172524,1499630,KS-INJECTION-1000-P-202506-1-INV,KS-INJECTION-1000-P-202506-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202506-2,2025-06-08,模拟原料商2,PP粒子,110592.25,8,884738,115016,999754,KS-INJECTION-1000-P-202506-2-INV,KS-INJECTION-1000-P-202506-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202507-1,2025-07-08,模拟原料商1,PP粒子,170627.875,8,1365023,177453,1542476,KS-INJECTION-1000-P-202507-1-INV,KS-INJECTION-1000-P-202507-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202507-2,2025-07-08,模拟原料商2,PP粒子,113752.0,8,910016,118302,1028318,KS-INJECTION-1000-P-202507-2-INV,KS-INJECTION-1000-P-202507-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202508-1,2025-08-08,模拟原料商1,PP粒子,170627.875,8,1365023,177453,1542476,KS-INJECTION-1000-P-202508-1-INV,KS-INJECTION-1000-P-202508-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202508-2,2025-08-08,模拟原料商2,PP粒子,113752.0,8,910016,118302,1028318,KS-INJECTION-1000-P-202508-2-INV,KS-INJECTION-1000-P-202508-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202509-1,2025-09-08,模拟原料商1,PP粒子,164308.625,8,1314469,170881,1485350,KS-INJECTION-1000-P-202509-1-INV,KS-INJECTION-1000-P-202509-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202509-2,2025-09-08,模拟原料商2,PP粒子,109539.0,8,876312,113921,990233,KS-INJECTION-1000-P-202509-2-INV,KS-INJECTION-1000-P-202509-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202510-1,2025-10-08,模拟原料商1,PP粒子,161148.75,8,1289190,167594,1456784,KS-INJECTION-1000-P-202510-1-INV,KS-INJECTION-1000-P-202510-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202510-2,2025-10-08,模拟原料商2,PP粒子,107432.5,8,859460,111730,971190,KS-INJECTION-1000-P-202510-2-INV,KS-INJECTION-1000-P-202510-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202511-1,2025-11-08,模拟原料商1,PP粒子,167468.0,8,1339744,174167,1513911,KS-INJECTION-1000-P-202511-1-INV,KS-INJECTION-1000-P-202511-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202511-2,2025-11-08,模拟原料商2,PP粒子,111645.375,8,893163,116111,1009274,KS-INJECTION-1000-P-202511-2-INV,KS-INJECTION-1000-P-202511-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202512-1,2025-12-08,模拟原料商1,PP粒子,173787.75,8,1390302,180739,1571041,KS-INJECTION-1000-P-202512-1-INV,KS-INJECTION-1000-P-202512-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202512-2,2025-12-08,模拟原料商2,PP粒子,115858.5,8,926868,120493,1047361,KS-INJECTION-1000-P-202512-2-INV,KS-INJECTION-1000-P-202512-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202601-1,2026-01-08,模拟原料商1,PP粒子,136502.25,8,1092018,141962,1233980,KS-INJECTION-1000-P-202601-1-INV,KS-INJECTION-1000-P-202601-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202601-2,2026-01-08,模拟原料商2,PP粒子,91001.5,8,728012,94642,822654,KS-INJECTION-1000-P-202601-2-INV,KS-INJECTION-1000-P-202601-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202602-1,2026-02-08,模拟原料商1,PP粒子,122852.0,8,982816,127766,1110582,KS-INJECTION-1000-P-202602-1-INV,KS-INJECTION-1000-P-202602-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202602-2,2026-02-08,模拟原料商2,PP粒子,81901.375,8,655211,85178,740389,KS-INJECTION-1000-P-202602-2-INV,KS-INJECTION-1000-P-202602-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202603-1,2026-03-08,模拟原料商1,PP粒子,174040.5,8,1392324,181002,1573326,KS-INJECTION-1000-P-202603-1-INV,KS-INJECTION-1000-P-202603-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202603-2,2026-03-08,模拟原料商2,PP粒子,116027.0,8,928216,120668,1048884,KS-INJECTION-1000-P-202603-2-INV,KS-INJECTION-1000-P-202603-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202604-1,2026-04-08,模拟原料商1,PP粒子,180865.625,8,1446925,188100,1635025,KS-INJECTION-1000-P-202604-1-INV,KS-INJECTION-1000-P-202604-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202604-2,2026-04-08,模拟原料商2,PP粒子,120577.0,8,964616,125400,1090016,KS-INJECTION-1000-P-202604-2-INV,KS-INJECTION-1000-P-202604-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202605-1,2026-05-08,模拟原料商1,PP粒子,187690.75,8,1501526,195199,1696725,KS-INJECTION-1000-P-202605-1-INV,KS-INJECTION-1000-P-202605-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202605-2,2026-05-08,模拟原料商2,PP粒子,125127.125,8,1001017,130132,1131149,KS-INJECTION-1000-P-202605-2-INV,KS-INJECTION-1000-P-202605-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202606-1,2026-06-08,模拟原料商1,PP粒子,179159.375,8,1433275,186326,1619601,KS-INJECTION-1000-P-202606-1-INV,KS-INJECTION-1000-P-202606-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202606-2,2026-06-08,模拟原料商2,PP粒子,119439.5,8,955516,124217,1079733,KS-INJECTION-1000-P-202606-2-INV,KS-INJECTION-1000-P-202606-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202607-1,2026-07-08,模拟原料商1,PP粒子,184278.125,8,1474225,191649,1665874,KS-INJECTION-1000-P-202607-1-INV,KS-INJECTION-1000-P-202607-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202607-2,2026-07-08,模拟原料商2,PP粒子,122852.125,8,982817,127766,1110583,KS-INJECTION-1000-P-202607-2-INV,KS-INJECTION-1000-P-202607-2-GRN,SYNTHETIC
KS-INJECTION-1000-P-202608-1,2026-08-08,模拟原料商1,PP粒子,184278.125,8,1474225,191649,1665874,KS-INJECTION-1000-P-202608-1-INV,KS-INJECTION-1000-P-202608-1-GRN,SYNTHETIC
KS-INJECTION-1000-P-202608-2,2026-08-08,模拟原料商2,PP粒子,122852.125,8,982817,127766,1110583,KS-INJECTION-1000-P-202608-2-INV,KS-INJECTION-1000-P-202608-2-GRN,SYNTHETIC
