月份,批次,产品,投入件数或kg,良品件数或kg,损耗件数或kg,原料领用kg,电量kWh,电费元,产出单位,备注
2024-08,KS-INJECTION-1000-LOT-202408,工业塑料周转配件,420866,408240,12626,263314.75,374400,280800,件,计划口径；产能及耗用待现场验证
2024-09,KS-INJECTION-1000-LOT-202409,工业塑料周转配件,405279,393120,12159,253562.375,360533,270400,件,计划口径；产能及耗用待现场验证
2024-10,KS-INJECTION-1000-LOT-202410,工业塑料周转配件,397485,385560,11925,248686.25,353600,265200,件,计划口径；产能及耗用待现场验证
2024-11,KS-INJECTION-1000-LOT-202411,工业塑料周转配件,413073,400680,12393,258438.625,367467,275600,件,计划口径；产能及耗用待现场验证
2024-12,KS-INJECTION-1000-LOT-202412,工业塑料周转配件,428660,415800,12860,268191.0,381333,286000,件,计划口径；产能及耗用待现场验证
2025-01,KS-INJECTION-1000-LOT-202501,工业塑料周转配件,336693,326592,10101,210651.875,277333,208000,件,计划口径；产能及耗用待现场验证
2025-02,KS-INJECTION-1000-LOT-202502,工业塑料周转配件,303024,293933,9091,189586.75,249600,187200,件,计划口径；产能及耗用待现场验证
2025-03,KS-INJECTION-1000-LOT-202503,工业塑料周转配件,429284,416405,12879,268581.25,353600,265200,件,计划口径；产能及耗用待现场验证
2025-04,KS-INJECTION-1000-LOT-202504,工业塑料周转配件,446118,432734,13384,279113.375,367467,275600,件,计划口径；产能及耗用待现场验证
2025-05,KS-INJECTION-1000-LOT-202505,工业塑料周转配件,462953,449064,13889,289646.25,381333,286000,件,计划口径；产能及耗用待现场验证
2025-06,KS-INJECTION-1000-LOT-202506,工业塑料周转配件,441910,428652,13258,276480.5,364000,273000,件,计划口径；产能及耗用待现场验证
2025-07,KS-INJECTION-1000-LOT-202507,工业塑料周转配件,454536,440899,13637,284379.875,374400,280800,件,计划口径；产能及耗用待现场验证
2025-08,KS-INJECTION-1000-LOT-202508,工业塑料周转配件,454536,440899,13637,284379.875,374400,280800,件,计划口径；产能及耗用待现场验证
2025-09,KS-INJECTION-1000-LOT-202509,工业塑料周转配件,437702,424570,13132,273847.625,360533,270400,件,计划口径；产能及耗用待现场验证
2025-10,KS-INJECTION-1000-LOT-202510,工业塑料周转配件,429284,416405,12879,268581.25,353600,265200,件,计划口径；产能及耗用待现场验证
2025-11,KS-INJECTION-1000-LOT-202511,工业塑料周转配件,446118,432734,13384,279113.375,367467,275600,件,计划口径；产能及耗用待现场验证
2025-12,KS-INJECTION-1000-LOT-202512,工业塑料周转配件,462953,449064,13889,289646.25,381333,286000,件,计划口径；产能及耗用待现场验证
2026-01,KS-INJECTION-1000-LOT-202601,工业塑料周转配件,363628,352719,10909,227503.75,277333,208000,件,计划口径；产能及耗用待现场验证
2026-02,KS-INJECTION-1000-LOT-202602,工业塑料周转配件,327265,317447,9818,204753.375,249600,187200,件,计划口径；产能及耗用待现场验证
2026-03,KS-INJECTION-1000-LOT-202603,工业塑料周转配件,463626,449717,13909,290067.5,353600,265200,件,计划口径；产能及耗用待现场验证
2026-04,KS-INJECTION-1000-LOT-202604,工业塑料周转配件,481808,467353,14455,301442.625,367467,275600,件,计划口径；产能及耗用待现场验证
2026-05,KS-INJECTION-1000-LOT-202605,工业塑料周转配件,499989,484989,15000,312817.875,381333,286000,件,计划口径；产能及耗用待现场验证
2026-06,KS-INJECTION-1000-LOT-202606,工业塑料周转配件,477262,462944,14318,298598.875,364000,273000,件,计划口径；产能及耗用待现场验证
2026-07,KS-INJECTION-1000-LOT-202607,工业塑料周转配件,490898,476171,14727,307130.25,374400,280800,件,计划口径；产能及耗用待现场验证
2026-08,KS-INJECTION-1000-LOT-202608,工业塑料周转配件,490898,476171,14727,307130.25,374400,280800,件,计划口径；产能及耗用待现场验证
