月份,批次,产品,投入件数或kg,良品件数或kg,损耗件数或kg,原料领用kg,电量kWh,电费元,产出单位,备注
2025-08,KS-TEXTILE-200-LOT-202508,棉纱,83102,74791,8311,71300.733,158400,118800,kg,计划口径；产能及耗用待现场验证
2025-09,KS-TEXTILE-200-LOT-202509,棉纱,80024,72021,8003,68660.0,152533,114400,kg,计划口径；产能及耗用待现场验证
2025-10,KS-TEXTILE-200-LOT-202510,棉纱,78485,70636,7849,67339.667,149600,112200,kg,计划口径；产能及耗用待现场验证
2025-11,KS-TEXTILE-200-LOT-202511,棉纱,81563,73406,8157,69980.4,155467,116600,kg,计划口径；产能及耗用待现场验证
2025-12,KS-TEXTILE-200-LOT-202512,棉纱,84640,76176,8464,72621.133,161333,121000,kg,计划口径；产能及耗用待现场验证
2026-01,KS-TEXTILE-200-LOT-202601,棉纱,56633,50969,5664,48590.467,117333,88000,kg,计划口径；产能及耗用待现场验证
2026-02,KS-TEXTILE-200-LOT-202602,棉纱,50969,45872,5097,43731.333,105600,79200,kg,计划口径；产能及耗用待现场验证
2026-03,KS-TEXTILE-200-LOT-202603,棉纱,72206,64985,7221,61952.4,149600,112200,kg,计划口径；产能及耗用待现场验证
2026-04,KS-TEXTILE-200-LOT-202604,棉纱,75038,67534,7504,64382.4,155467,116600,kg,计划口径；产能及耗用待现场验证
2026-05,KS-TEXTILE-200-LOT-202605,棉纱,77869,70082,7787,66811.533,161333,121000,kg,计划口径；产能及耗用待现场验证
2026-06,KS-TEXTILE-200-LOT-202606,棉纱,74329,66896,7433,63774.2,154000,115500,kg,计划口径；产能及耗用待现场验证
2026-07,KS-TEXTILE-200-LOT-202607,棉纱,76454,68808,7646,65596.933,158400,118800,kg,计划口径；产能及耗用待现场验证
2026-08,KS-TEXTILE-200-LOT-202608,棉纱,76454,68808,7646,65596.933,158400,118800,kg,计划口径；产能及耗用待现场验证
