采购号,日期,供应商,原料,数量kg,单价元kg,不含税元,税额元,价税合计元,模拟发票号,入库单号,标识
KS-TEXTILE-200-P-202309-1,2023-09-08,模拟原料商1,皮棉,48672.067,15,730081,94910,824991,KS-TEXTILE-200-P-202309-1-INV,KS-TEXTILE-200-P-202309-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202309-2,2023-09-08,模拟原料商2,皮棉,32448.0,15,486720,63274,549994,KS-TEXTILE-200-P-202309-2-INV,KS-TEXTILE-200-P-202309-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202310-1,2023-10-08,模拟原料商1,皮棉,47736.267,15,716044,93086,809130,KS-TEXTILE-200-P-202310-1-INV,KS-TEXTILE-200-P-202310-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202310-2,2023-10-08,模拟原料商2,皮棉,31824.133,15,477362,62057,539419,KS-TEXTILE-200-P-202310-2-INV,KS-TEXTILE-200-P-202310-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202311-1,2023-11-08,模拟原料商1,皮棉,49607.867,15,744118,96735,840853,KS-TEXTILE-200-P-202311-1-INV,KS-TEXTILE-200-P-202311-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202311-2,2023-11-08,模拟原料商2,皮棉,33071.867,15,496078,64490,560568,KS-TEXTILE-200-P-202311-2-INV,KS-TEXTILE-200-P-202311-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202312-1,2023-12-08,模拟原料商1,皮棉,51480.0,15,772200,100386,872586,KS-TEXTILE-200-P-202312-1-INV,KS-TEXTILE-200-P-202312-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202312-2,2023-12-08,模拟原料商2,皮棉,34320.0,15,514800,66924,581724,KS-TEXTILE-200-P-202312-2-INV,KS-TEXTILE-200-P-202312-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202401-1,2024-01-08,模拟原料商1,皮棉,34444.667,15,516670,67167,583837,KS-TEXTILE-200-P-202401-1-INV,KS-TEXTILE-200-P-202401-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202401-2,2024-01-08,模拟原料商2,皮棉,22963.133,15,344447,44778,389225,KS-TEXTILE-200-P-202401-2-INV,KS-TEXTILE-200-P-202401-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202402-1,2024-02-08,模拟原料商1,皮棉,31000.133,15,465002,60450,525452,KS-TEXTILE-200-P-202402-1-INV,KS-TEXTILE-200-P-202402-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202402-2,2024-02-08,模拟原料商2,皮棉,20666.733,15,310001,40300,350301,KS-TEXTILE-200-P-202402-2-INV,KS-TEXTILE-200-P-202402-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202403-1,2024-03-08,模拟原料商1,皮棉,43917.0,15,658755,85638,744393,KS-TEXTILE-200-P-202403-1-INV,KS-TEXTILE-200-P-202403-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202403-2,2024-03-08,模拟原料商2,皮棉,29278.0,15,439170,57092,496262,KS-TEXTILE-200-P-202403-2-INV,KS-TEXTILE-200-P-202403-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202404-1,2024-04-08,模拟原料商1,皮棉,45639.333,15,684590,88997,773587,KS-TEXTILE-200-P-202404-1-INV,KS-TEXTILE-200-P-202404-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202404-2,2024-04-08,模拟原料商2,皮棉,30426.2,15,456393,59331,515724,KS-TEXTILE-200-P-202404-2-INV,KS-TEXTILE-200-P-202404-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202405-1,2024-05-08,模拟原料商1,皮棉,47361.6,15,710424,92355,802779,KS-TEXTILE-200-P-202405-1-INV,KS-TEXTILE-200-P-202405-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202405-2,2024-05-08,模拟原料商2,皮棉,31574.4,15,473616,61570,535186,KS-TEXTILE-200-P-202405-2-INV,KS-TEXTILE-200-P-202405-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202406-1,2024-06-08,模拟原料商1,皮棉,45208.6,15,678129,88157,766286,KS-TEXTILE-200-P-202406-1-INV,KS-TEXTILE-200-P-202406-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202406-2,2024-06-08,模拟原料商2,皮棉,30139.067,15,452086,58771,510857,KS-TEXTILE-200-P-202406-2-INV,KS-TEXTILE-200-P-202406-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202407-1,2024-07-08,模拟原料商1,皮棉,46500.733,15,697511,90676,788187,KS-TEXTILE-200-P-202407-1-INV,KS-TEXTILE-200-P-202407-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202407-2,2024-07-08,模拟原料商2,皮棉,31000.467,15,465007,60451,525458,KS-TEXTILE-200-P-202407-2-INV,KS-TEXTILE-200-P-202407-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202408-1,2024-08-08,模拟原料商1,皮棉,46500.733,15,697511,90676,788187,KS-TEXTILE-200-P-202408-1-INV,KS-TEXTILE-200-P-202408-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202408-2,2024-08-08,模拟原料商2,皮棉,31000.467,15,465007,60451,525458,KS-TEXTILE-200-P-202408-2-INV,KS-TEXTILE-200-P-202408-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202409-1,2024-09-08,模拟原料商1,皮棉,44778.467,15,671677,87318,758995,KS-TEXTILE-200-P-202409-1-INV,KS-TEXTILE-200-P-202409-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202409-2,2024-09-08,模拟原料商2,皮棉,29852.267,15,447784,58212,505996,KS-TEXTILE-200-P-202409-2-INV,KS-TEXTILE-200-P-202409-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202410-1,2024-10-08,模拟原料商1,皮棉,43917.0,15,658755,85638,744393,KS-TEXTILE-200-P-202410-1-INV,KS-TEXTILE-200-P-202410-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202410-2,2024-10-08,模拟原料商2,皮棉,29278.0,15,439170,57092,496262,KS-TEXTILE-200-P-202410-2-INV,KS-TEXTILE-200-P-202410-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202411-1,2024-11-08,模拟原料商1,皮棉,45639.333,15,684590,88997,773587,KS-TEXTILE-200-P-202411-1-INV,KS-TEXTILE-200-P-202411-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202411-2,2024-11-08,模拟原料商2,皮棉,30426.2,15,456393,59331,515724,KS-TEXTILE-200-P-202411-2-INV,KS-TEXTILE-200-P-202411-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202412-1,2024-12-08,模拟原料商1,皮棉,47361.6,15,710424,92355,802779,KS-TEXTILE-200-P-202412-1-INV,KS-TEXTILE-200-P-202412-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202412-2,2024-12-08,模拟原料商2,皮棉,31574.4,15,473616,61570,535186,KS-TEXTILE-200-P-202412-2-INV,KS-TEXTILE-200-P-202412-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202501-1,2025-01-08,模拟原料商1,皮棉,31689.333,15,475340,61794,537134,KS-TEXTILE-200-P-202501-1-INV,KS-TEXTILE-200-P-202501-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202501-2,2025-01-08,模拟原料商2,皮棉,21126.267,15,316894,41196,358090,KS-TEXTILE-200-P-202501-2-INV,KS-TEXTILE-200-P-202501-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202502-1,2025-02-08,模拟原料商1,皮棉,28520.467,15,427807,55615,483422,KS-TEXTILE-200-P-202502-1-INV,KS-TEXTILE-200-P-202502-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202502-2,2025-02-08,模拟原料商2,皮棉,19013.667,15,285205,37077,322282,KS-TEXTILE-200-P-202502-2-INV,KS-TEXTILE-200-P-202502-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202503-1,2025-03-08,模拟原料商1,皮棉,40403.8,15,606057,78787,684844,KS-TEXTILE-200-P-202503-1-INV,KS-TEXTILE-200-P-202503-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202503-2,2025-03-08,模拟原料商2,皮棉,26935.867,15,404038,52525,456563,KS-TEXTILE-200-P-202503-2-INV,KS-TEXTILE-200-P-202503-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202504-1,2025-04-08,模拟原料商1,皮棉,41988.267,15,629824,81877,711701,KS-TEXTILE-200-P-202504-1-INV,KS-TEXTILE-200-P-202504-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202504-2,2025-04-08,模拟原料商2,皮棉,27992.133,15,419882,54585,474467,KS-TEXTILE-200-P-202504-2-INV,KS-TEXTILE-200-P-202504-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202505-1,2025-05-08,模拟原料商1,皮棉,43572.667,15,653590,84967,738557,KS-TEXTILE-200-P-202505-1-INV,KS-TEXTILE-200-P-202505-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202505-2,2025-05-08,模拟原料商2,皮棉,29048.467,15,435727,56644,492371,KS-TEXTILE-200-P-202505-2-INV,KS-TEXTILE-200-P-202505-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202506-1,2025-06-08,模拟原料商1,皮棉,41591.867,15,623878,81104,704982,KS-TEXTILE-200-P-202506-1-INV,KS-TEXTILE-200-P-202506-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202506-2,2025-06-08,模拟原料商2,皮棉,27727.867,15,415918,54069,469987,KS-TEXTILE-200-P-202506-2-INV,KS-TEXTILE-200-P-202506-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202507-1,2025-07-08,模拟原料商1,皮棉,42780.467,15,641707,83422,725129,KS-TEXTILE-200-P-202507-1-INV,KS-TEXTILE-200-P-202507-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202507-2,2025-07-08,模拟原料商2,皮棉,28520.267,15,427804,55614,483418,KS-TEXTILE-200-P-202507-2-INV,KS-TEXTILE-200-P-202507-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202508-1,2025-08-08,模拟原料商1,皮棉,42780.467,15,641707,83422,725129,KS-TEXTILE-200-P-202508-1-INV,KS-TEXTILE-200-P-202508-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202508-2,2025-08-08,模拟原料商2,皮棉,28520.267,15,427804,55614,483418,KS-TEXTILE-200-P-202508-2-INV,KS-TEXTILE-200-P-202508-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202509-1,2025-09-08,模拟原料商1,皮棉,41196.0,15,617940,80332,698272,KS-TEXTILE-200-P-202509-1-INV,KS-TEXTILE-200-P-202509-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202509-2,2025-09-08,模拟原料商2,皮棉,27464.0,15,411960,53555,465515,KS-TEXTILE-200-P-202509-2-INV,KS-TEXTILE-200-P-202509-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202510-1,2025-10-08,模拟原料商1,皮棉,40403.8,15,606057,78787,684844,KS-TEXTILE-200-P-202510-1-INV,KS-TEXTILE-200-P-202510-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202510-2,2025-10-08,模拟原料商2,皮棉,26935.867,15,404038,52525,456563,KS-TEXTILE-200-P-202510-2-INV,KS-TEXTILE-200-P-202510-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202511-1,2025-11-08,模拟原料商1,皮棉,41988.267,15,629824,81877,711701,KS-TEXTILE-200-P-202511-1-INV,KS-TEXTILE-200-P-202511-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202511-2,2025-11-08,模拟原料商2,皮棉,27992.133,15,419882,54585,474467,KS-TEXTILE-200-P-202511-2-INV,KS-TEXTILE-200-P-202511-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202512-1,2025-12-08,模拟原料商1,皮棉,43572.667,15,653590,84967,738557,KS-TEXTILE-200-P-202512-1-INV,KS-TEXTILE-200-P-202512-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202512-2,2025-12-08,模拟原料商2,皮棉,29048.467,15,435727,56644,492371,KS-TEXTILE-200-P-202512-2-INV,KS-TEXTILE-200-P-202512-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202601-1,2026-01-08,模拟原料商1,皮棉,30724.133,15,460862,59912,520774,KS-TEXTILE-200-P-202601-1-INV,KS-TEXTILE-200-P-202601-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202601-2,2026-01-08,模拟原料商2,皮棉,20482.733,15,307241,39941,347182,KS-TEXTILE-200-P-202601-2-INV,KS-TEXTILE-200-P-202601-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202602-1,2026-02-08,模拟原料商1,皮棉,27651.667,15,414775,53921,468696,KS-TEXTILE-200-P-202602-1-INV,KS-TEXTILE-200-P-202602-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202602-2,2026-02-08,模拟原料商2,皮棉,18434.4,15,276516,35947,312463,KS-TEXTILE-200-P-202602-2-INV,KS-TEXTILE-200-P-202602-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202603-1,2026-03-08,模拟原料商1,皮棉,39172.933,15,587594,76387,663981,KS-TEXTILE-200-P-202603-1-INV,KS-TEXTILE-200-P-202603-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202603-2,2026-03-08,模拟原料商2,皮棉,26115.333,15,391730,50925,442655,KS-TEXTILE-200-P-202603-2-INV,KS-TEXTILE-200-P-202603-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202604-1,2026-04-08,模拟原料商1,皮棉,40709.467,15,610642,79384,690026,KS-TEXTILE-200-P-202604-1-INV,KS-TEXTILE-200-P-202604-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202604-2,2026-04-08,模拟原料商2,皮棉,27139.667,15,407095,52922,460017,KS-TEXTILE-200-P-202604-2-INV,KS-TEXTILE-200-P-202604-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202605-1,2026-05-08,模拟原料商1,皮棉,42245.467,15,633682,82379,716061,KS-TEXTILE-200-P-202605-1-INV,KS-TEXTILE-200-P-202605-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202605-2,2026-05-08,模拟原料商2,皮棉,28163.6,15,422454,54919,477373,KS-TEXTILE-200-P-202605-2-INV,KS-TEXTILE-200-P-202605-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202606-1,2026-06-08,模拟原料商1,皮棉,40324.933,15,604874,78634,683508,KS-TEXTILE-200-P-202606-1-INV,KS-TEXTILE-200-P-202606-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202606-2,2026-06-08,模拟原料商2,皮棉,26883.267,15,403249,52422,455671,KS-TEXTILE-200-P-202606-2-INV,KS-TEXTILE-200-P-202606-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202607-1,2026-07-08,模拟原料商1,皮棉,41477.467,15,622162,80881,703043,KS-TEXTILE-200-P-202607-1-INV,KS-TEXTILE-200-P-202607-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202607-2,2026-07-08,模拟原料商2,皮棉,27651.6,15,414774,53921,468695,KS-TEXTILE-200-P-202607-2-INV,KS-TEXTILE-200-P-202607-2-GRN,SYNTHETIC
KS-TEXTILE-200-P-202608-1,2026-08-08,模拟原料商1,皮棉,41477.467,15,622162,80881,703043,KS-TEXTILE-200-P-202608-1-INV,KS-TEXTILE-200-P-202608-1-GRN,SYNTHETIC
KS-TEXTILE-200-P-202608-2,2026-08-08,模拟原料商2,皮棉,27651.6,15,414774,53921,468695,KS-TEXTILE-200-P-202608-2-INV,KS-TEXTILE-200-P-202608-2-GRN,SYNTHETIC
