订单号,合同日期,客户,产品,不含税元,税额元,价税合计元,已回款元,未收元,交付日,模拟发票号,交付单号,标识
KS-TEXTILE-200-S-202305-1,2023-05-05,模拟下游1,棉纱,1287000,167310,1454310,1439767,14543,2023-05-10,KS-TEXTILE-200-S-202305-1-INV,KS-TEXTILE-200-S-202305-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202305-2,2023-05-05,模拟下游2,棉纱,495000,64350,559350,553756,5594,2023-05-10,KS-TEXTILE-200-S-202305-2-INV,KS-TEXTILE-200-S-202305-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202305-3,2023-05-05,模拟下游3,棉纱,198000,25740,223740,221503,2237,2023-05-10,KS-TEXTILE-200-S-202305-3-INV,KS-TEXTILE-200-S-202305-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202306-1,2023-06-05,模拟下游1,棉纱,1228499,159705,1388204,1374322,13882,2023-06-10,KS-TEXTILE-200-S-202306-1-INV,KS-TEXTILE-200-S-202306-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202306-2,2023-06-05,模拟下游2,棉纱,472500,61425,533925,528586,5339,2023-06-10,KS-TEXTILE-200-S-202306-2-INV,KS-TEXTILE-200-S-202306-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202306-3,2023-06-05,模拟下游3,棉纱,188999,24570,213569,211433,2136,2023-06-10,KS-TEXTILE-200-S-202306-3-INV,KS-TEXTILE-200-S-202306-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202307-1,2023-07-05,模拟下游1,棉纱,1263605,164269,1427874,1413595,14279,2023-07-10,KS-TEXTILE-200-S-202307-1-INV,KS-TEXTILE-200-S-202307-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202307-2,2023-07-05,模拟下游2,棉纱,486002,63180,549182,543690,5492,2023-07-10,KS-TEXTILE-200-S-202307-2-INV,KS-TEXTILE-200-S-202307-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202307-3,2023-07-05,模拟下游3,棉纱,194401,25272,219673,217476,2197,2023-07-10,KS-TEXTILE-200-S-202307-3-INV,KS-TEXTILE-200-S-202307-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202308-1,2023-08-05,模拟下游1,棉纱,1263605,164269,1427874,1413595,14279,2023-08-10,KS-TEXTILE-200-S-202308-1-INV,KS-TEXTILE-200-S-202308-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202308-2,2023-08-05,模拟下游2,棉纱,486002,63180,549182,543690,5492,2023-08-10,KS-TEXTILE-200-S-202308-2-INV,KS-TEXTILE-200-S-202308-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202308-3,2023-08-05,模拟下游3,棉纱,194401,25272,219673,217476,2197,2023-08-10,KS-TEXTILE-200-S-202308-3-INV,KS-TEXTILE-200-S-202308-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202309-1,2023-09-05,模拟下游1,棉纱,1216801,158184,1374985,1361235,13750,2023-09-10,KS-TEXTILE-200-S-202309-1-INV,KS-TEXTILE-200-S-202309-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202309-2,2023-09-05,模拟下游2,棉纱,468000,60840,528840,523552,5288,2023-09-10,KS-TEXTILE-200-S-202309-2-INV,KS-TEXTILE-200-S-202309-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202309-3,2023-09-05,模拟下游3,棉纱,187201,24336,211537,209422,2115,2023-09-10,KS-TEXTILE-200-S-202309-3-INV,KS-TEXTILE-200-S-202309-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202310-1,2023-10-05,模拟下游1,棉纱,1193406,155143,1348549,1335064,13485,2023-10-10,KS-TEXTILE-200-S-202310-1-INV,KS-TEXTILE-200-S-202310-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202310-2,2023-10-05,模拟下游2,棉纱,459002,59670,518672,513485,5187,2023-10-10,KS-TEXTILE-200-S-202310-2-INV,KS-TEXTILE-200-S-202310-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202310-3,2023-10-05,模拟下游3,棉纱,183602,23868,207470,205395,2075,2023-10-10,KS-TEXTILE-200-S-202310-3-INV,KS-TEXTILE-200-S-202310-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202311-1,2023-11-05,模拟下游1,棉纱,1240196,161225,1401421,1387407,14014,2023-11-10,KS-TEXTILE-200-S-202311-1-INV,KS-TEXTILE-200-S-202311-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202311-2,2023-11-05,模拟下游2,棉纱,476998,62010,539008,533618,5390,2023-11-10,KS-TEXTILE-200-S-202311-2-INV,KS-TEXTILE-200-S-202311-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202311-3,2023-11-05,模拟下游3,棉纱,190800,24804,215604,213448,2156,2023-11-10,KS-TEXTILE-200-S-202311-3-INV,KS-TEXTILE-200-S-202311-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202312-1,2023-12-05,模拟下游1,棉纱,1287000,167310,1454310,1439767,14543,2023-12-10,KS-TEXTILE-200-S-202312-1-INV,KS-TEXTILE-200-S-202312-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202312-2,2023-12-05,模拟下游2,棉纱,495000,64350,559350,553756,5594,2023-12-10,KS-TEXTILE-200-S-202312-2-INV,KS-TEXTILE-200-S-202312-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202312-3,2023-12-05,模拟下游3,棉纱,198000,25740,223740,221503,2237,2023-12-10,KS-TEXTILE-200-S-202312-3-INV,KS-TEXTILE-200-S-202312-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202401-1,2024-01-05,模拟下游1,棉纱,861117,111945,973062,963331,9731,2024-01-10,KS-TEXTILE-200-S-202401-1-INV,KS-TEXTILE-200-S-202401-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202401-2,2024-01-05,模拟下游2,棉纱,331199,43056,374255,370512,3743,2024-01-10,KS-TEXTILE-200-S-202401-2-INV,KS-TEXTILE-200-S-202401-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202401-3,2024-01-05,模拟下游3,棉纱,132480,17222,149702,148205,1497,2024-01-10,KS-TEXTILE-200-S-202401-3-INV,KS-TEXTILE-200-S-202401-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202402-1,2024-02-05,模拟下游1,棉纱,775003,100751,875754,866996,8758,2024-02-10,KS-TEXTILE-200-S-202402-1-INV,KS-TEXTILE-200-S-202402-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202402-2,2024-02-05,模拟下游2,棉纱,298078,38750,336828,333460,3368,2024-02-10,KS-TEXTILE-200-S-202402-2-INV,KS-TEXTILE-200-S-202402-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202402-3,2024-02-05,模拟下游3,棉纱,119231,15500,134731,133384,1347,2024-02-10,KS-TEXTILE-200-S-202402-3-INV,KS-TEXTILE-200-S-202402-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202403-1,2024-03-05,模拟下游1,棉纱,1097925,142730,1240655,1228248,12407,2024-03-10,KS-TEXTILE-200-S-202403-1-INV,KS-TEXTILE-200-S-202403-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202403-2,2024-03-05,模拟下游2,棉纱,422279,54896,477175,472403,4772,2024-03-10,KS-TEXTILE-200-S-202403-2-INV,KS-TEXTILE-200-S-202403-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202403-3,2024-03-05,模拟下游3,棉纱,168912,21959,190871,188962,1909,2024-03-10,KS-TEXTILE-200-S-202403-3-INV,KS-TEXTILE-200-S-202403-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202404-1,2024-04-05,模拟下游1,棉纱,1140983,148328,1289311,1276418,12893,2024-04-10,KS-TEXTILE-200-S-202404-1-INV,KS-TEXTILE-200-S-202404-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202404-2,2024-04-05,模拟下游2,棉纱,438840,57049,495889,490930,4959,2024-04-10,KS-TEXTILE-200-S-202404-2-INV,KS-TEXTILE-200-S-202404-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202404-3,2024-04-05,模拟下游3,棉纱,175535,22820,198355,196371,1984,2024-04-10,KS-TEXTILE-200-S-202404-3-INV,KS-TEXTILE-200-S-202404-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202405-1,2024-05-05,模拟下游1,棉纱,1184040,153925,1337965,1324585,13380,2024-05-10,KS-TEXTILE-200-S-202405-1-INV,KS-TEXTILE-200-S-202405-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202405-2,2024-05-05,模拟下游2,棉纱,455400,59202,514602,509456,5146,2024-05-10,KS-TEXTILE-200-S-202405-2-INV,KS-TEXTILE-200-S-202405-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202405-3,2024-05-05,模拟下游3,棉纱,182160,23681,205841,203783,2058,2024-05-10,KS-TEXTILE-200-S-202405-3-INV,KS-TEXTILE-200-S-202405-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202406-1,2024-06-05,模拟下游1,棉纱,1130215,146928,1277143,1264372,12771,2024-06-10,KS-TEXTILE-200-S-202406-1-INV,KS-TEXTILE-200-S-202406-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202406-2,2024-06-05,模拟下游2,棉纱,434698,56511,491209,486297,4912,2024-06-10,KS-TEXTILE-200-S-202406-2-INV,KS-TEXTILE-200-S-202406-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202406-3,2024-06-05,模拟下游3,棉纱,173879,22604,196483,194518,1965,2024-06-10,KS-TEXTILE-200-S-202406-3-INV,KS-TEXTILE-200-S-202406-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202407-1,2024-07-05,模拟下游1,棉纱,1162518,151128,1313646,1300510,13136,2024-07-10,KS-TEXTILE-200-S-202407-1-INV,KS-TEXTILE-200-S-202407-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202407-2,2024-07-05,模拟下游2,棉纱,447122,58126,505248,500196,5052,2024-07-10,KS-TEXTILE-200-S-202407-2-INV,KS-TEXTILE-200-S-202407-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202407-3,2024-07-05,模拟下游3,棉纱,178850,23250,202100,200079,2021,2024-07-10,KS-TEXTILE-200-S-202407-3-INV,KS-TEXTILE-200-S-202407-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202408-1,2024-08-05,模拟下游1,棉纱,1162518,151128,1313646,1300510,13136,2024-08-10,KS-TEXTILE-200-S-202408-1-INV,KS-TEXTILE-200-S-202408-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202408-2,2024-08-05,模拟下游2,棉纱,447122,58126,505248,500196,5052,2024-08-10,KS-TEXTILE-200-S-202408-2-INV,KS-TEXTILE-200-S-202408-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202408-3,2024-08-05,模拟下游3,棉纱,178850,23250,202100,200079,2021,2024-08-10,KS-TEXTILE-200-S-202408-3-INV,KS-TEXTILE-200-S-202408-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202409-1,2024-09-05,模拟下游1,棉纱,1119461,145530,1264991,1252341,12650,2024-09-10,KS-TEXTILE-200-S-202409-1-INV,KS-TEXTILE-200-S-202409-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202409-2,2024-09-05,模拟下游2,棉纱,430562,55973,486535,481670,4865,2024-09-10,KS-TEXTILE-200-S-202409-2-INV,KS-TEXTILE-200-S-202409-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202409-3,2024-09-05,模拟下游3,棉纱,172225,22389,194614,192668,1946,2024-09-10,KS-TEXTILE-200-S-202409-3-INV,KS-TEXTILE-200-S-202409-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202410-1,2024-10-05,模拟下游1,棉纱,1097925,142730,1240655,1228248,12407,2024-10-10,KS-TEXTILE-200-S-202410-1-INV,KS-TEXTILE-200-S-202410-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202410-2,2024-10-05,模拟下游2,棉纱,422279,54896,477175,472403,4772,2024-10-10,KS-TEXTILE-200-S-202410-2-INV,KS-TEXTILE-200-S-202410-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202410-3,2024-10-05,模拟下游3,棉纱,168912,21959,190871,188962,1909,2024-10-10,KS-TEXTILE-200-S-202410-3-INV,KS-TEXTILE-200-S-202410-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202411-1,2024-11-05,模拟下游1,棉纱,1140983,148328,1289311,1276418,12893,2024-11-10,KS-TEXTILE-200-S-202411-1-INV,KS-TEXTILE-200-S-202411-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202411-2,2024-11-05,模拟下游2,棉纱,438840,57049,495889,490930,4959,2024-11-10,KS-TEXTILE-200-S-202411-2-INV,KS-TEXTILE-200-S-202411-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202411-3,2024-11-05,模拟下游3,棉纱,175535,22820,198355,196371,1984,2024-11-10,KS-TEXTILE-200-S-202411-3-INV,KS-TEXTILE-200-S-202411-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202412-1,2024-12-05,模拟下游1,棉纱,1184040,153925,1337965,1324585,13380,2024-12-10,KS-TEXTILE-200-S-202412-1-INV,KS-TEXTILE-200-S-202412-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202412-2,2024-12-05,模拟下游2,棉纱,455400,59202,514602,509456,5146,2024-12-10,KS-TEXTILE-200-S-202412-2-INV,KS-TEXTILE-200-S-202412-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202412-3,2024-12-05,模拟下游3,棉纱,182160,23681,205841,203783,2058,2024-12-10,KS-TEXTILE-200-S-202412-3-INV,KS-TEXTILE-200-S-202412-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202501-1,2025-01-05,模拟下游1,棉纱,792234,102991,895225,886273,8952,2025-01-10,KS-TEXTILE-200-S-202501-1-INV,KS-TEXTILE-200-S-202501-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202501-2,2025-01-05,模拟下游2,棉纱,304706,39612,344318,340875,3443,2025-01-10,KS-TEXTILE-200-S-202501-2-INV,KS-TEXTILE-200-S-202501-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202501-3,2025-01-05,模拟下游3,棉纱,121882,15844,137726,136349,1377,2025-01-10,KS-TEXTILE-200-S-202501-3-INV,KS-TEXTILE-200-S-202501-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202502-1,2025-02-05,模拟下游1,棉纱,713012,92691,805703,797646,8057,2025-02-10,KS-TEXTILE-200-S-202502-1-INV,KS-TEXTILE-200-S-202502-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202502-2,2025-02-05,模拟下游2,棉纱,274236,35650,309886,306787,3099,2025-02-10,KS-TEXTILE-200-S-202502-2-INV,KS-TEXTILE-200-S-202502-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202502-3,2025-02-05,模拟下游3,棉纱,109694,14261,123955,122715,1240,2025-02-10,KS-TEXTILE-200-S-202502-3-INV,KS-TEXTILE-200-S-202502-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202503-1,2025-03-05,模拟下游1,棉纱,1010095,131312,1141407,1129993,11414,2025-03-10,KS-TEXTILE-200-S-202503-1-INV,KS-TEXTILE-200-S-202503-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202503-2,2025-03-05,模拟下游2,棉纱,388498,50505,439003,434613,4390,2025-03-10,KS-TEXTILE-200-S-202503-2-INV,KS-TEXTILE-200-S-202503-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202503-3,2025-03-05,模拟下游3,棉纱,155399,20202,175601,173845,1756,2025-03-10,KS-TEXTILE-200-S-202503-3-INV,KS-TEXTILE-200-S-202503-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202504-1,2025-04-05,模拟下游1,棉纱,1049706,136462,1186168,1174306,11862,2025-04-10,KS-TEXTILE-200-S-202504-1-INV,KS-TEXTILE-200-S-202504-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202504-2,2025-04-05,模拟下游2,棉纱,403733,52485,456218,451656,4562,2025-04-10,KS-TEXTILE-200-S-202504-2-INV,KS-TEXTILE-200-S-202504-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202504-3,2025-04-05,模拟下游3,棉纱,161493,20994,182487,180662,1825,2025-04-10,KS-TEXTILE-200-S-202504-3-INV,KS-TEXTILE-200-S-202504-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202505-1,2025-05-05,模拟下游1,棉纱,1089317,141611,1230928,1218619,12309,2025-05-10,KS-TEXTILE-200-S-202505-1-INV,KS-TEXTILE-200-S-202505-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202505-2,2025-05-05,模拟下游2,棉纱,418968,54466,473434,468700,4734,2025-05-10,KS-TEXTILE-200-S-202505-2-INV,KS-TEXTILE-200-S-202505-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202505-3,2025-05-05,模拟下游3,棉纱,167587,21786,189373,187479,1894,2025-05-10,KS-TEXTILE-200-S-202505-3-INV,KS-TEXTILE-200-S-202505-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202506-1,2025-06-05,模拟下游1,棉纱,1039796,135173,1174969,1163219,11750,2025-06-10,KS-TEXTILE-200-S-202506-1-INV,KS-TEXTILE-200-S-202506-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202506-2,2025-06-05,模拟下游2,棉纱,399922,51990,451912,447393,4519,2025-06-10,KS-TEXTILE-200-S-202506-2-INV,KS-TEXTILE-200-S-202506-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202506-3,2025-06-05,模拟下游3,棉纱,159968,20796,180764,178956,1808,2025-06-10,KS-TEXTILE-200-S-202506-3-INV,KS-TEXTILE-200-S-202506-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202507-1,2025-07-05,模拟下游1,棉纱,1069511,139036,1208547,1196462,12085,2025-07-10,KS-TEXTILE-200-S-202507-1-INV,KS-TEXTILE-200-S-202507-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202507-2,2025-07-05,模拟下游2,棉纱,411350,53476,464826,460178,4648,2025-07-10,KS-TEXTILE-200-S-202507-2-INV,KS-TEXTILE-200-S-202507-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202507-3,2025-07-05,模拟下游3,棉纱,164541,21390,185931,184072,1859,2025-07-10,KS-TEXTILE-200-S-202507-3-INV,KS-TEXTILE-200-S-202507-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202508-1,2025-08-05,模拟下游1,棉纱,1069511,139036,1208547,1196462,12085,2025-08-10,KS-TEXTILE-200-S-202508-1-INV,KS-TEXTILE-200-S-202508-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202508-2,2025-08-05,模拟下游2,棉纱,411350,53476,464826,460178,4648,2025-08-10,KS-TEXTILE-200-S-202508-2-INV,KS-TEXTILE-200-S-202508-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202508-3,2025-08-05,模拟下游3,棉纱,164541,21390,185931,184072,1859,2025-08-10,KS-TEXTILE-200-S-202508-3-INV,KS-TEXTILE-200-S-202508-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202509-1,2025-09-05,模拟下游1,棉纱,1029900,133887,1163787,1152149,11638,2025-09-10,KS-TEXTILE-200-S-202509-1-INV,KS-TEXTILE-200-S-202509-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202509-2,2025-09-05,模拟下游2,棉纱,396116,51495,447611,443135,4476,2025-09-10,KS-TEXTILE-200-S-202509-2-INV,KS-TEXTILE-200-S-202509-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202509-3,2025-09-05,模拟下游3,棉纱,158446,20598,179044,177254,1790,2025-09-10,KS-TEXTILE-200-S-202509-3-INV,KS-TEXTILE-200-S-202509-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202510-1,2025-10-05,模拟下游1,棉纱,1010095,131312,1141407,1129993,11414,2025-10-10,KS-TEXTILE-200-S-202510-1-INV,KS-TEXTILE-200-S-202510-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202510-2,2025-10-05,模拟下游2,棉纱,388498,50505,439003,434613,4390,2025-10-10,KS-TEXTILE-200-S-202510-2-INV,KS-TEXTILE-200-S-202510-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202510-3,2025-10-05,模拟下游3,棉纱,155399,20202,175601,173845,1756,2025-10-10,KS-TEXTILE-200-S-202510-3-INV,KS-TEXTILE-200-S-202510-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202511-1,2025-11-05,模拟下游1,棉纱,1049706,136462,1186168,1174306,11862,2025-11-10,KS-TEXTILE-200-S-202511-1-INV,KS-TEXTILE-200-S-202511-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202511-2,2025-11-05,模拟下游2,棉纱,403733,52485,456218,451656,4562,2025-11-10,KS-TEXTILE-200-S-202511-2-INV,KS-TEXTILE-200-S-202511-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202511-3,2025-11-05,模拟下游3,棉纱,161493,20994,182487,180662,1825,2025-11-10,KS-TEXTILE-200-S-202511-3-INV,KS-TEXTILE-200-S-202511-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202512-1,2025-12-05,模拟下游1,棉纱,1089317,141611,1230928,1218619,12309,2025-12-10,KS-TEXTILE-200-S-202512-1-INV,KS-TEXTILE-200-S-202512-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202512-2,2025-12-05,模拟下游2,棉纱,418968,54466,473434,468700,4734,2025-12-10,KS-TEXTILE-200-S-202512-2-INV,KS-TEXTILE-200-S-202512-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202512-3,2025-12-05,模拟下游3,棉纱,167587,21786,189373,187479,1894,2025-12-10,KS-TEXTILE-200-S-202512-3-INV,KS-TEXTILE-200-S-202512-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202601-1,2026-01-05,模拟下游1,棉纱,728857,94751,823608,642414,181194,2026-01-10,KS-TEXTILE-200-S-202601-1-INV,KS-TEXTILE-200-S-202601-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202601-2,2026-01-05,模拟下游2,棉纱,280330,36443,316773,247083,69690,2026-01-10,KS-TEXTILE-200-S-202601-2-INV,KS-TEXTILE-200-S-202601-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202601-3,2026-01-05,模拟下游3,棉纱,112131,14577,126708,98832,27876,2026-01-10,KS-TEXTILE-200-S-202601-3-INV,KS-TEXTILE-200-S-202601-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202602-1,2026-02-05,模拟下游1,棉纱,655970,85276,741246,578172,163074,2026-02-10,KS-TEXTILE-200-S-202602-1-INV,KS-TEXTILE-200-S-202602-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202602-2,2026-02-05,模拟下游2,棉纱,252296,32798,285094,222373,62721,2026-02-10,KS-TEXTILE-200-S-202602-2-INV,KS-TEXTILE-200-S-202602-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202602-3,2026-02-05,模拟下游3,棉纱,100918,13120,114038,88950,25088,2026-02-10,KS-TEXTILE-200-S-202602-3-INV,KS-TEXTILE-200-S-202602-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202603-1,2026-03-05,模拟下游1,棉纱,929286,120807,1050093,819073,231020,2026-03-10,KS-TEXTILE-200-S-202603-1-INV,KS-TEXTILE-200-S-202603-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202603-2,2026-03-05,模拟下游2,棉纱,357418,46464,403882,315028,88854,2026-03-10,KS-TEXTILE-200-S-202603-2-INV,KS-TEXTILE-200-S-202603-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202603-3,2026-03-05,模拟下游3,棉纱,142966,18586,161552,126011,35541,2026-03-10,KS-TEXTILE-200-S-202603-3-INV,KS-TEXTILE-200-S-202603-3-DEL,SYNTHETIC
KS-TEXTILE-200-S-202604-1,2026-04-05,模拟下游1,棉纱,965736,125546,1091282,851200,240082,2026-04-10,KS-TEXTILE-200-S-202604-1-INV,KS-TEXTILE-200-S-202604-1-DEL,SYNTHETIC
KS-TEXTILE-200-S-202604-2,2026-04-05,模拟下游2,棉纱,371437,48287,419724,327385,92339,2026-04-10,KS-TEXTILE-200-S-202604-2-INV,KS-TEXTILE-200-S-202604-2-DEL,SYNTHETIC
KS-TEXTILE-200-S-202604-3,2026-04-05,模拟下游3,棉纱,148575,19314,167889,130953,36936,2026-04-10,KS-TEXTILE-200-S-202604-3-INV,KS-TEXTILE-200-S-202604-3-DEL,SYNTHETIC
