月份,收入元,原料成本元,人工元,电费元,管理销售元,折旧元,利息元,所得税元,净利润元,客户回款元,原料采购元,增值税缴付元,现金元,应收元,存货元,固定资产净额元,负债元,权益元,资产元,经营净现金元,分红筹资流出元,现金净变动元
2025-03,1553992,1010095,140000,112200,90000,60000,32000,27424,82273,1738451,1010095,70707,5186898,1517439,800000,6380000,5800000,8084337,13884337,124713,0,124713
2025-04,1614932,1049706,140000,116600,90000,60000,32000,31656,94970,1806624,1049706,73479,5323619,1535688,800000,6320000,5800000,8179307,13979307,136721,0,136721
2025-05,1675872,1089317,140000,121000,90000,60000,32000,35889,107666,1874798,1089317,76252,5472348,1554625,800000,6260000,5800000,8286973,14086973,148729,0,148729
2025-06,1599686,1039796,140000,115500,90000,60000,32000,30598,91792,1789568,1039796,72786,5606063,1572702,800000,6200000,5800000,8378765,14178765,133715,0,133715
2025-07,1645402,1069511,140000,118800,90000,60000,32000,33773,101318,1840712,1069511,74866,5748789,1591294,800000,6140000,5800000,8480083,14280083,142726,0,142726
2025-08,1645402,1069511,140000,118800,90000,60000,32000,33773,101318,1840712,1069511,74866,5891515,1609886,800000,6080000,5800000,8581401,14381401,142726,0,142726
2025-09,1584462,1029900,140000,114400,90000,60000,32000,29540,88622,1772538,1029900,72093,6022233,1627790,800000,6020000,5800000,8670023,14470023,130718,0,130718
2025-10,1553992,1010095,140000,112200,90000,60000,32000,27424,82273,1738451,1010095,70707,6146946,1645350,800000,5960000,5800000,8752296,14552296,124713,0,124713
2025-11,1614932,1049706,140000,116600,90000,60000,32000,31656,94970,1806624,1049706,73479,6283667,1663599,800000,5900000,5800000,8847266,14647266,136721,0,136721
2025-12,1675872,1089317,140000,121000,90000,60000,32000,35889,107666,1874798,1089317,76252,6432396,1682536,800000,5840000,5800000,8954932,14754932,148729,0,148729
2026-01,1121318,728857,140000,88000,90000,60000,32000,0,-17539,988329,768103,45918,6156851,1961296,839246,5780000,5800000,8937393,14737393,-275545,0,-275545
2026-02,1009184,655970,140000,79200,90000,60000,32000,0,-47986,889495,691291,41326,5882661,2212179,874567,5720000,5800000,8889407,14689407,-274190,0,-274190
2026-03,1429670,929286,140000,112200,90000,60000,32000,16546,49638,1260112,979324,58545,5586846,2567594,924605,5660000,5800000,8939045,14739045,-295815,0,-295815
2026-04,1485748,965736,140000,116600,90000,60000,32000,20353,61059,1309538,1017737,60841,5286547,2936951,976606,5600000,5800000,9000104,14800104,-300299,0,-300299
2026-05,1541804,1002173,140000,121000,90000,60000,32000,24158,72473,1358947,1056136,63137,4981765,3320243,1030569,5540000,5800000,9072577,14872577,-304782,0,-304782
2026-06,1471712,956613,140000,115500,90000,60000,32000,19400,58199,1297167,1008123,60267,4682586,3686111,1082079,5480000,5800000,9130776,14930776,-299179,0,-299179
2026-07,1513776,983954,140000,118800,90000,60000,32000,22256,66766,1334242,1036936,61989,4380045,4062436,1135061,5420000,5800000,9197542,14997542,-302541,0,-302541
2026-08,1513776,983954,140000,118800,90000,60000,32000,22256,66766,1334242,1036936,61989,4077504,4438761,1188043,5360000,5800000,9264308,15064308,-302541,0,-302541
