订单号,客户,交付日,余额元,备注
KS-TEXTILE-200-S-202309-3,模拟下游3,2023-09-10,2115,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202310-1,模拟下游1,2023-10-10,13485,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202310-2,模拟下游2,2023-10-10,5187,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202310-3,模拟下游3,2023-10-10,2075,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202311-1,模拟下游1,2023-11-10,14014,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202311-2,模拟下游2,2023-11-10,5390,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202311-3,模拟下游3,2023-11-10,2156,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202312-1,模拟下游1,2023-12-10,14543,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202312-2,模拟下游2,2023-12-10,5594,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202312-3,模拟下游3,2023-12-10,2237,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202401-1,模拟下游1,2024-01-10,9731,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202401-2,模拟下游2,2024-01-10,3743,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202401-3,模拟下游3,2024-01-10,1497,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202402-1,模拟下游1,2024-02-10,8758,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202402-2,模拟下游2,2024-02-10,3368,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202402-3,模拟下游3,2024-02-10,1347,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202403-1,模拟下游1,2024-03-10,12407,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202403-2,模拟下游2,2024-03-10,4772,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202403-3,模拟下游3,2024-03-10,1909,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202404-1,模拟下游1,2024-04-10,12893,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202404-2,模拟下游2,2024-04-10,4959,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202404-3,模拟下游3,2024-04-10,1984,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202405-1,模拟下游1,2024-05-10,13380,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202405-2,模拟下游2,2024-05-10,5146,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202405-3,模拟下游3,2024-05-10,2058,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202406-1,模拟下游1,2024-06-10,12771,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202406-2,模拟下游2,2024-06-10,4912,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202406-3,模拟下游3,2024-06-10,1965,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202407-1,模拟下游1,2024-07-10,13136,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202407-2,模拟下游2,2024-07-10,5052,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202407-3,模拟下游3,2024-07-10,2021,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202408-1,模拟下游1,2024-08-10,13136,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202408-2,模拟下游2,2024-08-10,5052,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202408-3,模拟下游3,2024-08-10,2021,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202409-1,模拟下游1,2024-09-10,12650,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202409-2,模拟下游2,2024-09-10,4865,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202409-3,模拟下游3,2024-09-10,1946,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202410-1,模拟下游1,2024-10-10,12407,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202410-2,模拟下游2,2024-10-10,4772,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202410-3,模拟下游3,2024-10-10,1909,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202411-1,模拟下游1,2024-11-10,12893,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202411-2,模拟下游2,2024-11-10,4959,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202411-3,模拟下游3,2024-11-10,1984,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202412-1,模拟下游1,2024-12-10,13380,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202412-2,模拟下游2,2024-12-10,5146,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202412-3,模拟下游3,2024-12-10,2058,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202501-1,模拟下游1,2025-01-10,8952,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202501-2,模拟下游2,2025-01-10,3443,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202501-3,模拟下游3,2025-01-10,1377,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202502-1,模拟下游1,2025-02-10,8057,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202502-2,模拟下游2,2025-02-10,3099,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202502-3,模拟下游3,2025-02-10,1240,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202503-1,模拟下游1,2025-03-10,11414,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202503-2,模拟下游2,2025-03-10,4390,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202503-3,模拟下游3,2025-03-10,1756,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202504-1,模拟下游1,2025-04-10,11862,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202504-2,模拟下游2,2025-04-10,4562,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202504-3,模拟下游3,2025-04-10,1825,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202505-1,模拟下游1,2025-05-10,12309,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202505-2,模拟下游2,2025-05-10,4734,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202505-3,模拟下游3,2025-05-10,1894,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202506-1,模拟下游1,2025-06-10,11750,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202506-2,模拟下游2,2025-06-10,4519,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202506-3,模拟下游3,2025-06-10,1808,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202507-1,模拟下游1,2025-07-10,12085,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202507-2,模拟下游2,2025-07-10,4648,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202507-3,模拟下游3,2025-07-10,1859,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202508-1,模拟下游1,2025-08-10,12085,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202508-2,模拟下游2,2025-08-10,4648,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202508-3,模拟下游3,2025-08-10,1859,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202509-1,模拟下游1,2025-09-10,11638,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202509-2,模拟下游2,2025-09-10,4476,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202509-3,模拟下游3,2025-09-10,1790,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202510-1,模拟下游1,2025-10-10,11414,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202510-2,模拟下游2,2025-10-10,4390,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202510-3,模拟下游3,2025-10-10,1756,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202511-1,模拟下游1,2025-11-10,11862,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202511-2,模拟下游2,2025-11-10,4562,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202511-3,模拟下游3,2025-11-10,1825,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202512-1,模拟下游1,2025-12-10,12309,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202512-2,模拟下游2,2025-12-10,4734,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202512-3,模拟下游3,2025-12-10,1894,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202601-1,模拟下游1,2026-01-10,181194,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202601-2,模拟下游2,2026-01-10,69690,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202601-3,模拟下游3,2026-01-10,27876,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202602-1,模拟下游1,2026-02-10,163074,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202602-2,模拟下游2,2026-02-10,62721,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202602-3,模拟下游3,2026-02-10,25088,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202603-1,模拟下游1,2026-03-10,231020,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202603-2,模拟下游2,2026-03-10,88854,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202603-3,模拟下游3,2026-03-10,35541,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202604-1,模拟下游1,2026-04-10,240082,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202604-2,模拟下游2,2026-04-10,92339,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202604-3,模拟下游3,2026-04-10,36936,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202605-1,模拟下游1,2026-05-10,249140,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202605-2,模拟下游2,2026-05-10,95823,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202605-3,模拟下游3,2026-05-10,38329,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202606-1,模拟下游1,2026-06-10,237814,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202606-2,模拟下游2,2026-06-10,91467,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202606-3,模拟下游3,2026-06-10,36587,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202607-1,模拟下游1,2026-07-10,244611,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202607-2,模拟下游2,2026-07-10,94081,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202607-3,模拟下游3,2026-07-10,37633,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202608-1,模拟下游1,2026-08-10,244611,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202608-2,模拟下游2,2026-08-10,94081,本期未收尾款；历史尾款持续未清需解释
KS-TEXTILE-200-S-202608-3,模拟下游3,2026-08-10,37633,本期未收尾款；历史尾款持续未清需解释
